ID,Name,HOF,FY,LY,SP,POS,ASG,G,AB,R,H,DB,TP,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,DBTP,BBSB,AVG,SLG,OBP
conceda01,"Concepcion, Dave",N,1970,1988,19,SS,0.47,2488,8723,993,2326,389,48,101,950,321,109,736,1186,93,21,74,86,266,437,1057,267,357,322
coninje01,"Conine, Jeff",N,1990,2007,17,1B,0.12,2024,6957,870,1982,385,36,214,1071,54,29,671,1168,46,41,9,103,182,421,725,285,443,347
consobi01,"Consolo, Billy",N,1953,1962,10,SS,0,603,1178,158,260,31,11,9,83,9,10,161,297,3,3,18,3,24,42,170,221,289,315
coopece01,"Cooper, Cecil",N,1971,1987,17,1B,0.29,1896,7349,1012,2192,415,47,241,1125,89,49,448,911,79,17,46,79,150,462,537,298,466,337
corajo01,"Cora, Joey",N,1987,1998,11,2B,0.09,1119,3734,624,1035,171,41,30,294,117,60,380,335,6,44,84,37,58,212,497,277,369,348
cordewi01,"Cordero, Wil",N,1992,2005,14,OF,0.07,1247,4311,587,1178,261,19,122,566,49,19,325,775,35,57,12,33,110,280,374,273,428,330
cottohe01,"Cotto, Henry",N,1984,1993,10,OF,0,884,2178,296,569,87,9,44,210,130,26,107,352,10,16,21,11,49,96,237,261,370,299
courtcl01,"Courtney, Clint",N,1951,1961,11,C,0,946,2796,260,750,126,17,38,313,3,16,264,143,22,46,22,19,74,143,267,268,366,339
covinwe01,"Covington, Wes",N,1956,1966,11,OF,0,1075,2978,355,832,128,17,131,499,7,4,247,414,51,24,16,26,73,145,254,279,466,337
cowenal01,"Cowens, Al",N,1974,1986,13,OF,0,1584,5534,704,1494,276,68,108,717,120,74,389,659,28,34,28,53,141,344,509,270,403,319
crandde01,"Crandall, Del",N,1949,1966,16,C,0.5,1573,5026,585,1276,179,18,179,657,26,28,424,477,95,21,68,42,162,197,450,254,404,312
crawfwi01,"Crawford, Willie",N,1964,1977,14,OF,0,1210,3435,507,921,152,35,86,419,47,36,431,664,55,9,22,28,57,187,478,268,408,349
cromawa01,"Cromartie, Warren",N,1974,1991,10,OF,0,1107,3927,459,1104,229,32,61,391,50,37,325,403,85,18,17,31,99,261,375,281,402,336
crowlte01,"Crowley, Terry",N,1969,1983,15,OF,0,865,1518,174,379,62,1,42,229,3,0,222,181,21,7,6,15,55,63,225,250,375,345
cruzjo01,"Cruz, Jose",N,1970,1988,19,OF,0.11,2353,7917,1036,2251,391,94,165,1077,317,136,898,1031,142,7,27,82,119,485,1215,284,420,354
cruzjo02,"Cruz, Jose",N,1997,2008,12,OF,0,1388,4724,713,1167,252,36,204,624,113,39,658,1147,37,5,23,38,73,288,771,247,445,337
cruzju01,"Cruz, Julio",N,1977,1986,10,2B,0,1156,3859,557,916,113,27,23,279,343,78,478,508,3,14,56,30,64,140,821,237,299,321
cummimi01,"Cummings, Midre",N,1993,2005,11,OF,0,460,1113,136,286,60,8,22,124,9,6,94,200,4,9,5,7,14,68,103,257,385,318
cunnijo01,"Cunningham, Joe",N,1954,1966,12,1B,0.08,1141,3362,525,980,177,26,64,436,16,27,599,369,31,49,26,25,56,203,615,291,417,403
curtich01,"Curtis, Chad",N,1992,2001,10,OF,0,1204,4017,648,1061,195,16,101,461,212,98,510,676,11,40,34,49,102,211,722,264,396,349
dalrycl01,"Dalrymple, Clay",N,1960,1971,12,C,0,1079,3042,243,710,98,23,55,327,3,13,387,403,77,22,54,27,66,121,390,233,335,322
dauerri01,"Dauer, Rich",N,1976,1985,10,2B,0,1140,3829,448,984,193,3,43,372,6,13,297,219,7,14,44,34,128,196,303,257,343,310
daultda01,"Daulton, Darren",N,1983,1997,14,C,0.21,1161,3630,511,891,197,25,137,588,50,10,629,726,58,24,12,41,35,222,679,245,427,357
davalvi01,"Davalillo, Vic",N,1963,1980,16,OF,0.06,1458,4017,509,1122,160,37,36,329,125,58,212,422,29,10,32,25,43,197,337,279,364,315
davenji01,"Davenport, Jim",N,1958,1970,13,3B,0.08,1501,4427,552,1142,177,37,77,456,16,25,382,673,23,23,111,38,104,214,398,258,367,318
davisch01,"Davis, Chili",N,1981,1999,19,OF,0.16,2436,8673,1240,2380,424,30,350,1372,142,98,1194,1698,188,15,20,94,232,454,1336,274,451,360
daviser01,"Davis, Eric",N,1984,2001,17,OF,0.12,1626,5321,938,1430,239,26,282,934,349,66,740,1398,59,33,3,50,112,265,1089,269,482,359
davisgl01,"Davis, Glenn",N,1984,1993,10,1B,0.2,1015,3719,510,965,177,13,190,603,28,11,370,613,78,55,6,39,80,190,398,259,467,332
davisjo02,"Davis, Jody",N,1981,1990,10,C,0.2,1082,3585,364,877,164,11,127,490,7,16,333,712,44,9,18,39,106,175,340,245,403,307
davismi02,"Davis, Mike",N,1980,1989,10,OF,0,963,2999,419,778,161,16,91,371,134,56,236,537,19,10,24,29,55,177,370,259,415,313
davisto02,"Davis, Tommy",N,1959,1976,18,OF,0.11,1999,7223,811,2121,272,35,153,1052,136,59,381,754,66,32,35,68,219,307,517,294,405,329
daviswi02,"Davis, Willie",N,1960,1979,18,OF,0.11,2429,9174,1217,2561,395,138,182,1053,398,131,418,977,75,51,83,96,128,533,816,279,412,311
dawsoan01,"Dawson, Andre",Y,1976,1996,21,OF,0.38,2627,9927,1373,2774,503,98,438,1591,314,109,589,1509,143,111,24,118,217,601,903,279,482,323
decindo01,"DeCinces, Doug",N,1973,1987,15,3B,0.07,1649,5809,778,1505,312,29,237,879,58,48,618,904,57,21,22,64,177,341,676,259,445,329
deerro01,"Deer, Rob",N,1984,1996,11,OF,0,1155,3881,578,853,148,13,230,600,43,31,575,1409,27,32,2,22,38,161,618,220,442,324
